# Rime user dictionary
#@/db_name	luna_pinyin.userdb
#@/db_type	userdb
#@/rime_version	1.2.9
#@/tick	25120
#@/user_id	rime
a 	啊	c=122 d=2.11641 t=25120
ji mei 	既沒	c=1 d=6.21653e-26 t=25120
ji neng 	技能	c=5 d=8.01128e-10 t=25120
ji nian 	幾年	c=7 d=0.0505395 t=25120
ji nian bei 	紀念碑	c=0 d=6.37282e-25 t=25120
ji nian bei gu 	紀念碑谷	c=1 d=6.40476e-24 t=25120
ji nu 	激怒	c=1 d=1.44744e-27 t=25120
ji piao 	機票	c=1 d=9.01675e-48 t=25120
ji qi 	極其	c=1 d=1.77804e-06 t=25120
ji qi 	機器	c=3 d=1.06712e-29 t=25120
ji qi 	記起	c=1 d=2.23936e-14 t=25120
ji qi ren 	機器人	c=4 d=5.38861e-21 t=25120
ji qian 	幾錢	c=1 d=4.70171e-05 t=25120
ji qian kuai 	幾千塊	c=1 d=3.93309e-52 t=25120
ji qu 	計取	c=1 d=1.68289e-06 t=25120
ji ran 	既然	c=2 d=1.15821e-22 t=25120
ji ri 	幾日	c=3 d=1.66779e-14 t=25120
ji rou 	雞肉	c=0 d=7.59677e-33 t=25120
ji rou wei 	雞肉味	c=1 d=7.63485e-32 t=25120
ji shi 	及時	c=2 d=4.71212e-31 t=25120
ji shi 	幾十	c=1 d=0.000593188 t=25120
ji shi 	幾時	c=6 d=3.25721e-10 t=25120
ji shi 	計時	c=1 d=8.17425e-41 t=25120
ji shi ben 	記事本	c=2 d=9.26707e-39 t=25120
ji shi nian 	幾十年	c=3 d=3.24818e-07 t=25120
ji shi zhi 	幾十只	c=1 d=2.64739e-42 t=25120
ji shou 	幾手	c=1 d=3.76731e-16 t=25120
ji shu 	技術	c=3 d=0.000152504 t=25120
ji shu men 	技術們	c=1 d=2.79621e-09 t=25120
ji shu quan 	技術圈	c=1 d=1.73202e-21 t=25120
ji shu xing 	技術型	c=1 d=2.23929e-43 t=25120
ji shu zhan 	技術盞	c=1 d=6.27153e-12 t=25120
ji suan 	計算	c=1 d=1.73108e-44 t=25120
ji suan ji 	計算機	c=1 d=2.97266e-23 t=25120
ji tang 	雞湯	c=2 d=1.39405e-26 t=25120
ji tian 	幾天	c=0 d=7.67728e-10 t=25120
ji tian qian 	幾天前	c=1 d=7.71577e-09 t=25120
ji tu 	冀圖	c=1 d=1.35732e-06 t=25120
ji tui 	雞腿	c=1 d=0.146607 t=25120
ji wan 	幾萬	c=1 d=0.0114473 t=25120
ji wan tiao 	幾萬條	c=1 d=1.04635e-33 t=25120
ji wu duan 	機務段	c=1 d=4.35738e-22 t=25120
ji xi 	即系	c=7 d=0.113042 t=25120
ji xiang 	跡象	c=1 d=6.62254e-35 t=25120
ji xing 	機型	c=1 d=1.51298e-48 t=25120
ji xu 	繼續	c=10 d=1.63062e-12 t=25120
ji ye 	幾頁	c=1 d=1.32381e-06 t=25120
ji you 	機油	c=1 d=7.49641e-52 t=25120
ji zhao 	記招	c=1 d=2.22093e-05 t=25120
ji zhe 	記者	c=1 d=3.31719e-19 t=25120
ji zhi 	機智	c=1 d=2.12942e-10 t=25120
ji zhong 	集中	c=1 d=1.79121e-34 t=25120
ji zhu 	記住	c=1 d=3.16465e-24 t=25120
jia 	假	c=3 d=1.0516e-33 t=25120
jia 	價	c=1 d=2.13919e-35 t=25120
jia 	加	c=9 d=0.145876 t=25120
jia 	嘉	c=1 d=9.2086e-31 t=25120
jia 	夾	c=2 d=1.3078e-47 t=25120
jia 	嫁	c=1 d=1.28442e-33 t=25120
jia 	家	c=4 d=0.0017953 t=25120
jia 	架	c=0 d=1.04085e-29 t=25120
jia 	甲	c=0 d=1.0406e-28 t=25120
jia 	賈	c=3 d=1.16825e-06 t=25120
jia ban 	加班	c=6 d=8.85747e-07 t=25120
jia ban chao 	加班潮	c=1 d=5.40917e-07 t=25120
jia bu si 	賈布斯	c=1 d=1.17411e-06 t=25120
jia ge 	價格	c=8 d=4.63644e-17 t=25120
jia gu wen 	甲骨文	c=1 d=1.37451e-07 t=25120
jia hao 	架好	c=1 d=8.1086e-05 t=25120
jia he 	嘉禾	c=0 d=1.11913e-31 t=25120
jia he wang gang 	嘉禾望崗	c=1 d=1.12474e-30 t=25120
jia huo 	傢伙	c=4 d=0.26982 t=25120
jia li 	家裏	c=3 d=4.17999e-33 t=25120
jia meng 	加盟	c=1 d=6.19501e-44 t=25120
jia mi 	加密	c=5 d=1.10592e-08 t=25120
jia ni 	加你	c=1 d=1.84702e-42 t=25120
jia nian hua 	嘉年華	c=1 d=3.33722e-31 t=25120
jia qi 	假期	c=3 d=3.4271e-41 t=25120
jia qian 	價錢	c=1 d=1.56315e-20 t=25120
jia qiang 	加強	c=1 d=1.10875e-38 t=25120
jia ru 	加入	c=2 d=0.000422213 t=25120
jia shang 	加上	c=1 d=1.40299e-13 t=25120
jia she 	假設	c=1 d=1.83881e-19 t=25120
jia su 	加速	c=1 d=2.60895e-17 t=25120
jia tie cheng 	甲鐵城	c=2 d=2.88949e-12 t=25120
jia wei 	價位	c=1 d=2.04795e-51 t=25120
jia xin 	加薪	c=2 d=1.2035e-09 t=25120
jia you zhan 	加油站	c=1 d=2.02275e-23 t=25120
jia yuan 	佳緣	c=0 d=0.000554422 t=25120
jia zhao 	駕照	c=1 d=9.26106e-39 t=25120
jian 	件	c=2 d=3.93388e-25 t=25120
jian 	姦	c=1 d=1.49793e-48 t=25120
jian 	建	c=4 d=0.00136719 t=25120
jian 	減	c=3 d=0.000103597 t=25120
jian 	簡	c=1 d=6.93797e-53 t=25120
jian 	見	c=7 d=5.05517e-17 t=25120
jian 	賤	c=1 d=1.52954e-29 t=25120
jian 	鍵	c=3 d=1.98783e-24 t=25120
jian 	間	c=6 d=7.88336e-05 t=25120
jian bie 	鑑別	c=1 d=9.87126e-25 t=25120
jian bing 	劍柄	c=1 d=3.89143e-15 t=25120
jian ce 	檢測	c=1 d=2.06748e-45 t=25120
jian cha 	檢查	c=5 d=3.55799e-31 t=25120
jian dan 	簡單	c=9 d=0.289385 t=25120
jian dao 	見到	c=12 d=0.0645704 t=25120
jian fan 	監犯	c=1 d=3.20746e-35 t=25120
jian fei 	減肥	c=1 d=1.91613e-33 t=25120
jian guo 	見過	c=7 d=3.50116e-07 t=25120
jian hua 	簡化	c=1 d=2.80345e-10 t=25120
jian jia 	減價	c=1 d=5.6219e-49 t=25120
jian jian 	漸漸	c=1 d=1.59717e-38 t=25120
jian jue 	堅決	c=1 d=4.08095e-45 t=25120
jian kang 	健康	c=1 d=1.25616e-36 t=25120
jian kong 	監控	c=2 d=0.0380064 t=25120
jian kuan 	肩寬	c=1 d=1.52772e-15 t=25120
jian li 	建立	c=1 d=5.64623e-41 t=25120
jian li 	簡歷	c=4 d=7.49283e-17 t=25120
jian pan 	鍵盤	c=6 d=1.88504e-17 t=25120
jian pu 	簡譜	c=1 d=1.54654e-12 t=25120
jian ren 	賤人	c=1 d=1.58262e-48 t=25120
jian shao 	減少	c=1 d=1.71414e-46 t=25120
jian she 	建設	c=1 d=7.03444e-39 t=25120
jian shen 	健身	c=1 d=1.5201e-15 t=25120
jian shi 	見識	c=1 d=2.13189e-53 t=25120
jian ta 	踐踏	c=1 d=7.99604e-17 t=25120
jian ti 	簡體	c=1 d=1.04223e-16 t=25120
jian ti zhong wen 	簡體中文	c=1 d=2.26611e-36 t=25120
jian tie ban 	剪貼板	c=1 d=4.2345e-09 t=25120
jian ting 	堅挺	c=1 d=3.32464e-16 t=25120
jian ting 	監聽	c=1 d=1.9555e-37 t=25120
jian xun 	簡訊	c=1 d=8.13097e-08 t=25120
jian yan 	檢驗	c=1 d=7.95049e-38 t=25120
jian yi 	建議	c=3 d=1.72735e-43 t=25120
jian zheng 	見證	c=1 d=4.39654e-39 t=25120
jian zhi 	兼職	c=2 d=3.07383e-05 t=25120
jian zhi 	簡直	c=12 d=7.28547e-09 t=25120
jiang 	將	c=11 d=4.08816e-07 t=25120
jiang 	江	c=1 d=1.17244e-48 t=25120
jiang 	獎	c=2 d=7.94508e-30 t=25120
jiang 	薑	c=1 d=2.68786e-11 t=25120
jiang 	講	c=31 d=0.10698 t=25120
jiang 	醬	c=1 d=5.22384e-38 t=25120
jiang 	降	c=3 d=4.54316e-42 t=25120
jiang chu lai 	講出來	c=1 d=2.6419e-47 t=25120
jiang dao 	講到	c=1 d=2.38473e-48 t=25120
jiang gong 	蔣公	c=2 d=1.51303e-19 t=25120
jiang ji 	降級	c=2 d=4.02032e-16 t=25120
jiang jia 	降價	c=1 d=5.91014e-49 t=25120
jiang jin 	江津	c=3 d=7.32812e-16 t=25120
jiang jun 	將軍	c=4 d=2.84413 t=25120
jiang lai 	將來	c=2 d=3.09987e-16 t=25120
jiang li 	獎勵	c=1 d=4.75786e-27 t=25120
jiang nan 	江南	c=0 d=2.74038e-08 t=25120
jiang nan xi 	江南西	c=1 d=2.75411e-07 t=25120
jiang shi 	殭屍	c=3 d=8.85054e-36 t=25120
jiang shi ban 	殭屍版	c=1 d=8.8949e-35 t=25120
jiang su 	江蘇	c=1 d=1.4008e-24 t=25120
jiang ta 	將它	c=1 d=0.00042433 t=25120
jiang xue jin 	獎學金	c=0 d=3.79781e-53 t=25120
jiang xun 	蔣尋	c=1 d=1.96798e-53 t=25120
jiang you bo 	蔣友柏	c=1 d=4.56882e-50 t=25120
jiang ze min 	江澤民	c=1 d=2.87687e-20 t=25120
jiang zhen 	講真	c=1 d=9.02136e-54 t=25120
jiang zhong de 	江忠德	c=1 d=7.06993e-10 t=25120
jiao 	交	c=9 d=0.904837 t=25120
jiao 	叫	c=45 d=1.79131e-06 t=25120
jiao 	教	c=5 d=6.98033e-07 t=25120
jiao 	腳	c=6 d=2.24089e-22 t=25120
jiao 	覺	c=1 d=7.73705e-12 t=25120
jiao ben 	腳本	c=17 d=4.2025e-08 t=25120
jiao che 	轎車	c=1 d=9.43529e-23 t=25120
jiao cheng 	教程	c=1 d=1.26049e-47 t=25120
jiao dai 	膠帶	c=2 d=2.27839e-33 t=25120
jiao dian 	焦點	c=1 d=0.112478 t=25120
jiao dou shi 	角鬥士	c=2 d=6.28884e-15 t=25120
jiao du 	角度	c=1 d=3.55457e-38 t=25120
jiao fei 	繳費	c=1 d=1.32286e-27 t=25120
jiao feng 	腳風	c=1 d=1.34446e-41 t=25120
jiao huai 	腳踝	c=1 d=1.26965e-44 t=25120
jiao huo 	交貨	c=1 d=3.15863e-31 t=25120
jiao ke shu 	教科書	c=1 d=1.7527e-43 t=25120
jiao kou 	滘口	c=1 d=7.4707e-41 t=25120
jiao li 	膠粒	c=1 d=8.74757e-15 t=25120
jiao lian 	教練	c=3 d=0.513003 t=25120
jiao luo 	角落	c=2 d=1.75216e-10 t=25120
jiao nan 	腳男	c=1 d=1.25835e-27 t=25120
jiao ni 	叫你	c=1 d=2.81253e-48 t=25120
jiao ni 	教你	c=1 d=6.93443e-47 t=25120
jiao qian 	交錢	c=1 d=1.25033e-40 t=25120
jiao qiu 	角球	c=1 d=1.70647e-52 t=25120
jiao se 	角色	c=2 d=4.47788e-24 t=25120
jiao she 	交涉	c=1 d=1.88273e-32 t=25120
jiao shou 	教授	c=5 d=5.90631e-12 t=25120
jiao ta che 	腳踏車	c=1 d=8.87647e-40 t=25120
jiao tu 	教徒	c=1 d=0.0420036 t=25120
jiao wang 	交往	c=1 d=6.79503e-14 t=25120
jiao yi 	交易	c=2 d=1.01913e-17 t=25120
jiao you bu shen 	交友不慎	c=1 d=6.38694e-50 t=25120
jiao yu 	教育	c=5 d=7.71738e-20 t=25120
jiao yu bu 	教育部	c=1 d=1.34404e-08 t=25120
jiao yu pian 	教育片	c=1 d=1.07913e-43 t=25120
jiao yu wang 	教育網	c=2 d=1.12535e-07 t=25120
jie 	傑	c=3 d=5.95357e-09 t=25120
jie 	姐	c=1 d=4.16197e-41 t=25120
jie 	接	c=7 d=2.98502e-13 t=25120
jie 	杰	c=1 d=1.374e-34 t=25120
jie 	節	c=1 d=1.14493e-05 t=25120
jie 	街	c=2 d=1.37807e-08 t=25120
jie ai 	節哀	c=1 d=3.14672e-16 t=25120
jie ben 	節本	c=0 d=7.77319e-09 t=25120
jie bian 	街邊	c=1 d=1.52611e-32 t=25120
jie bing 	結冰	c=2 d=0.12938 t=25120
jie cao 	節操	c=2 d=1.84085e-52 t=25120
jie chi 	劫持	c=2 d=2.77801e-42 t=25120
jie chu 	接觸	c=2 d=0.425283 t=25120
jie dian 	節電	c=2 d=9.06533e-23 t=25120
jie dian 	節點	c=1 d=2.92831e-52 t=25120
jie dong 	解凍	c=2 d=9.69974e-09 t=25120
jie du 	解毒	c=2 d=4.99414e-09 t=25120
jie duan 	階段	c=3 d=2.93613e-14 t=25120
jie fa 	接法	c=1 d=1.15063e-33 t=25120
jie feng 	解封	c=2 d=2.71114e-39 t=25120
jie fu 	姐夫	c=1 d=0.00143012 t=25120
jie fu ji pin 	劫富濟貧	c=1 d=3.87796e-33 t=25120
jie gou 	結構	c=2 d=8.56853e-07 t=25120
jie guo 	結果	c=13 d=0.0677354 t=25120
jie guo ma 	結果嘛	c=1 d=1.57746e-39 t=25120
jie he 	結合	c=1 d=1.15302e-29 t=25120
jie hun 	結婚	c=3 d=3.01867e-27 t=25120
jie jin 	接近	c=5 d=0.214381 t=25120
jie jue 	解決	c=7 d=4.33123e-10 t=25120
jie kou 	接口	c=6 d=3.26178e-16 t=25120
jie li 	接力	c=1 d=3.76334e-33 t=25120
jie li 	節禮	c=0 d=1.44473e-06 t=25120
jie li xing 	節禮性	c=1 d=1.45198e-05 t=25120
jie lun 	結論	c=2 d=5.00707e-10 t=25120
jie mei 	姐妹	c=1 d=2.65893e-05 t=25120
jie mian 	界面	c=1 d=9.21988e-16 t=25120
jie mu biao 	節目表	c=1 d=2.87032e-52 t=25120
jie pan 	接盤	c=1 d=3.16347e-49 t=25120
jie qiu 	接球	c=1 d=7.36974e-28 t=25120
jie ri 	節日	c=5 d=2.49122e-39 t=25120
jie ru 	介入	c=1 d=1.9565e-43 t=25120
jie shang 	接上	c=1 d=4.85728e-35 t=25120
jie shao 	介紹	c=5 d=1.95384e-13 t=25120
jie sheng 	節省	c=2 d=7.82334e-46 t=25120
jie shi 	解釋	c=1 d=2.10823e-10 t=25120
jie shou 	接受	c=1 d=5.22829e-48 t=25120
jie shou 	接手	c=3 d=1.19226e-10 t=25120
jie shou 	接收	c=2 d=8.17533e-08 t=25120
jie shu 	結束	c=3 d=0.0145524 t=25120
jie shuo 	解說	c=1 d=8.52434e-05 t=25120
jie suan 	結算	c=1 d=0.00165327 t=25120
jie suo 	解鎖	c=1 d=1.83088e-27 t=25120
jie ting 	接聽	c=1 d=3.98913e-42 t=25120
jie tu 	截圖	c=8 d=0.000288663 t=25120
jie wai qiu 	界外球	c=4 d=0.494109 t=25120
jie ya 	解壓	c=5 d=4.31386e-20 t=25120
jie yi 	介意	c=1 d=3.42589e-16 t=25120
jie zou 	節奏	c=1 d=0.341297 t=25120
jin 	今	c=1 d=2.46967e-48 t=25120
jin 	僅	c=1 d=3.85336e-17 t=25120
jin 	巾	c=0 d=5.93389e-09 t=25120
jin 	斤	c=1 d=1.92574e-33 t=25120
jin 	禁	c=1 d=3.47648e-12 t=25120
jin 	緊	c=9 d=0.00121866 t=25120
jin 	近	c=6 d=0.0424694 t=25120
jin 	進	c=8 d=0.108609 t=25120
jin 	金	c=1 d=3.04843e-25 t=25120
jin bi 	金幣	c=1 d=5.92765e-25 t=25120
jin bu liao 	進不了	c=1 d=1.93243e-15 t=25120
jin cheng 	進程	c=1 d=0.000330468 t=25120
jin ci 	今次	c=6 d=2.63706e-45 t=25120
jin ci er yi 	僅此而已	c=1 d=1.0736e-12 t=25120
jin du 	進度	c=1 d=2.91826e-41 t=25120
jin gang 	金剛	c=1 d=2.99163e-39 t=25120
jin gong 	僅供	c=1 d=2.49457e-19 t=25120
jin hu 	近乎	c=2 d=4.5314e-12 t=25120
jin hu ping rang 	近乎平壤	c=1 d=2.11988e-16 t=25120
jin ji 	進擊	c=2 d=1.38653e-13 t=25120
jin le 	進了	c=2 d=3.355e-52 t=25120
jin liang 	儘量	c=1 d=1.41267e-35 t=25120
jin nian 	今年	c=9 d=0.00794669 t=25120
jin pai 	近排	c=1 d=6.03056e-51 t=25120
jin pao 	浸泡	c=1 d=2.8853e-25 t=25120
jin qian 	金錢	c=1 d=1.61405e-44 t=25120
jin qu 	禁區	c=2 d=1.11396e-05 t=25120
jin qu 	進去	c=5 d=4.95159e-16 t=25120
jin ri 	今日	c=14 d=0.156453 t=25120
jin ru 	進入	c=1 d=0.118837 t=25120
jin sai 	禁賽	c=1 d=5.08188e-08 t=25120
jin se 	金色	c=1 d=3.4608e-47 t=25120
jin shen 	謹慎	c=1 d=6.12086e-20 t=25120
jin shi 	盡是	c=1 d=1.53956e-47 t=25120
jin shi 	近視	c=1 d=3.33314e-46 t=25120
jin tian 	今天	c=5 d=6.5466e-17 t=25120
jin wan 	今晚	c=12 d=0.000685603 t=25120
jin xiang jiang 	金像獎	c=1 d=6.54995e-23 t=25120
jin yao 	禁藥	c=1 d=5.13295e-08 t=25120
jin yao 	緊要	c=1 d=2.67536e-48 t=25120
jin yu 	金魚	c=2 d=1.34422e-30 t=25120
jin zao 	今早	c=1 d=1.10378e-44 t=25120
jin zao 	儘早	c=1 d=1.3657e-49 t=25120
jin zhi 	禁止	c=1 d=0.133989 t=25120
jing 	井	c=1 d=6.83105e-27 t=25120
jing 	京	c=1 d=3.40058e-17 t=25120
jing 	驚	c=0 d=4.8255e-47 t=25120
jing cai 	精彩	c=1 d=0.0902655 t=25120
jing cha 	警察	c=1 d=2.74505e-27 t=25120
jing chang 	經常	c=6 d=1.08104e-05 t=25120
jing dian 	經典	c=1 d=1.77032e-43 t=25120
jing dong 	京東	c=6 d=2.64928e-21 t=25120
jing dong 	驚動	c=1 d=1.02619e-10 t=25120
jing gao 	警告	c=1 d=3.1305e-14 t=25120
jing guo 	經過	c=2 d=1.20942e-31 t=25120
jing ji 	經濟	c=3 d=0.00247875 t=25120
jing ji 	荊棘	c=1 d=1.09529e-12 t=25120
jing ji chan 	經濟產	c=1 d=2.3283e-31 t=25120
jing ji chang 	競技場	c=5 d=0.292293 t=25120
jing ji gu 	荊棘谷	c=12 d=0.288173 t=25120
jing ji xue 	經濟學	c=1 d=1.55509e-18 t=25120
jing jing 	靜靜	c=1 d=4.20738e-51 t=25120
jing li 	精力	c=2 d=0.0165727 t=25120
jing mo 	靜默	c=1 d=0.114177 t=25120
jing quan 	警犬	c=1 d=3.81372e-13 t=25120
jing ran 	竟然	c=1 d=2.41418e-16 t=25120
jing sai 	競賽	c=1 d=6.93112e-12 t=25120
jing shen 	精神	c=1 d=1.04134e-06 t=25120
jing song 	驚悚	c=1 d=1.18898e-07 t=25120
jing xi 	驚喜	c=1 d=5.03286e-41 t=25120
jing ya 	驚訝	c=2 d=7.91765e-48 t=25120
jing yan 	經驗	c=2 d=0.251579 t=25120
jing ying 	精英	c=1 d=8.90702e-51 t=25120
jing zheng 	競爭	c=1 d=1.00413e-19 t=25120
jing zhong 	警鐘	c=1 d=1.08193e-44 t=25120
jing zhui bing 	頸椎病	c=1 d=1.41512e-26 t=25120
jiong 	囧	c=2 d=0.847894 t=25120
jiu 	久	c=3 d=6.72104e-17 t=25120
jiu 	九	c=1 d=3.40116e-19 t=25120
jiu 	就	c=227 d=0.161218 t=25120
jiu 	救	c=3 d=2.3477e-11 t=25120
jiu 	舊	c=6 d=0.0213864 t=25120
jiu ban 	舊版	c=1 d=2.7698e-15 t=25120
jiu ban ben 	舊版本	c=1 d=8.75353e-23 t=25120
jiu bu shi 	就不是	c=1 d=2.59991e-35 t=25120
jiu dian 	酒店	c=4 d=1.84834e-21 t=25120
jiu hao le 	就好了	c=1 d=7.25485e-49 t=25120
jiu hui 	就會	c=1 d=5.32014e-47 t=25120
jiu jie 	糾結	c=2 d=0.0308074 t=25120
jiu jing 	究竟	c=4 d=1.77161e-10 t=25120
jiu kuan 	舊款	c=1 d=1.50544e-48 t=25120
jiu seng 	酒僧	c=1 d=0.0128424 t=25120
jiu shi 	就是	c=21 d=0.638982 t=25120
jiu shi lun shi 	就事論事	c=1 d=4.56819e-19 t=25120
jiu suan 	就算	c=2 d=0.0012684 t=25120
jiu xi 	就系	c=2 d=1.91685e-08 t=25120
jiu xiang 	就想	c=1 d=2.21701e-43 t=25120
jiu xing 	就行	c=1 d=2.25243e-53 t=25120
jiu yao 	就要	c=2 d=1.47744e-33 t=25120
jiu yuan 	久遠	c=1 d=2.23891e-41 t=25120
jiu zai 	就在	c=1 d=0.0381969 t=25120
ju 	句	c=1 d=2.38887e-39 t=25120
ju 	舉	c=1 d=5.09763e-15 t=25120
ju bao 	舉報	c=8 d=3.97829e-10 t=25120
ju ben 	劇本	c=6 d=3.02452e-20 t=25120
ju ben bu dui 	劇本不對	c=1 d=7.06129e-25 t=25120
ju bu 	局部	c=1 d=0.000274654 t=25120
ju chang 	劇場	c=1 d=6.96705e-14 t=25120
ju da 	巨大	c=2 d=9.01398e-15 t=25120
ju ji 	劇集	c=1 d=1.90858e-16 t=25120
ju ji 	聚集	c=1 d=6.87501e-34 t=25120
ju jue 	拒絕	c=6 d=3.75671e-30 t=25120
ju keng 	巨坑	c=1 d=0.00223168 t=25120
ju le bu 	俱樂部	c=4 d=0.618784 t=25120
ju li 	居里	c=1 d=0.000109455 t=25120
ju li 	距離	c=1 d=8.20963e-33 t=25120
ju qing 	劇情	c=8 d=9.5014e-08 t=25120
ju ran 	居然	c=44 d=0.794533 t=25120
ju ren 	巨人	c=2 d=1.40046e-13 t=25120
ju shi 	局勢	c=1 d=2.08151e-07 t=25120
ju shuo 	據說	c=3 d=1.0826e-09 t=25120
ju ti 	具體	c=6 d=0.759412 t=25120
ju tou 	劇透	c=9 d=0.0158214 t=25120
ju wen 	據聞	c=1 d=0.240508 t=25120
ju wo 	據我	c=0 d=4.17345e-45 t=25120
ju wo suo zhi 	據我所知	c=1 d=4.19437e-44 t=25120
ju ying 	巨硬	c=8 d=1.46837e-19 t=25120
ju yu wang 	局域網	c=2 d=2.02662e-37 t=25120
ju zhao 	劇照	c=1 d=1.01318e-07 t=25120
ju zheng 	舉證	c=1 d=5.2891e-37 t=25120
juan 	娟	c=1 d=1.251e-17 t=25120
jue 	覺	c=2 d=3.43313e-41 t=25120
jue bi 	絕壁	c=1 d=8.22668e-28 t=25120
jue bu 	絕不	c=0 d=0.00632918 t=25120
jue da bu fen 	絕大部分	c=1 d=2.29637e-45 t=25120
jue de 	覺得	c=25 d=1.72285e-06 t=25120
jue ding 	決定	c=1 d=2.41336e-12 t=25120
jue dui 	絕對	c=2 d=1.22223e-08 t=25120
jue sai 	決賽	c=3 d=5.58132e-12 t=25120
jue shi 	爵士	c=1 d=3.65523e-43 t=25120
jue xin 	決心	c=1 d=3.76463e-37 t=25120
jue ye 	爵爺	c=2 d=4.51469e-43 t=25120
jun 	君	c=0 d=5.39503e-36 t=25120
jun 	軍	c=2 d=2.52745e-26 t=25120
jun 	鈞	c=3 d=2.43008e-05 t=25120
jun fen 	均分	c=1 d=2.95331e-05 t=25120
jun lin 	君臨	c=1 d=0.913931 t=25120
jun tuan 	軍團	c=1 d=1.79463e-27 t=25120
jun xun 	軍訓	c=1 d=8.55777e-51 t=25120
jun zhuang 	軍裝	c=3 d=7.55023e-26 t=25120
ka 	卡	c=12 d=0.000105626 t=25120
ka ba 	卡巴	c=0 d=1.70125e-17 t=25120
ka ba nei rui 	卡巴內瑞	c=1 d=1.70977e-16 t=25120
ka ji er 	卡基爾	c=1 d=1.07602e-09 t=25120
ka ke 	卡殼	c=1 d=1.60966e-12 t=25120
ka la 	卡拉	c=0 d=1.26749e-25 t=25120
ka li 	卡里	c=0 d=1.89965e-50 t=25120
ka li ke 	卡里克	c=1 d=1.90917e-49 t=25120
ka shen 	卡神	c=2 d=5.89307e-15 t=25120
ka si 	卡死	c=1 d=8.47406e-53 t=25120
ka xi er 	卡希爾	c=1 d=9.9295e-06 t=25120
ka yan 	卡宴	c=1 d=1.87372e-05 t=25120
kai 	開	c=31 d=5.11949e-05 t=25120
kai bo 	開播	c=1 d=5.16483e-22 t=25120
kai chang 	開場	c=1 d=1.90528e-25 t=25120
kai chu 	開出	c=1 d=4.50631e-35 t=25120
kai di la ke 	凱迪拉克	c=1 d=1.25292e-35 t=25120
kai en si 	凱恩斯	c=1 d=1.53961e-18 t=25120
kai fa 	開發	c=1 d=3.48181e-31 t=25120
kai fa ban 	開發版	c=4 d=8.18281e-16 t=25120
kai fa shang 	開發商	c=1 d=1.38088e-32 t=25120
kai fa zhe 	開發者	c=3 d=0.000407691 t=25120
kai fa zhe men 	開發者門	c=1 d=1.06582e-44 t=25120
kai fang 	開放	c=2 d=4.64197e-31 t=25120
kai fu 	開服	c=2 d=3.17673e-10 t=25120
kai ge 	開個	c=0 d=2.03988e-35 t=25120
kai ge jia 	開個價	c=1 d=2.05011e-34 t=25120
kai gua 	開掛	c=3 d=0.00249311 t=25120
kai guo 	開過	c=3 d=2.62283e-28 t=25120
kai ji 	開機	c=3 d=7.66488e-23 t=25120
kai ke 	開課	c=1 d=1.65125e-18 t=25120
kai men 	開門	c=1 d=6.37608e-30 t=25120
kai pai 	開拍	c=2 d=8.68847e-37 t=25120
kai pao 	開炮	c=1 d=6.59287e-41 t=25120
kai pen 	開噴	c=1 d=1.78568e-27 t=25120
kai pian 	開片	c=1 d=3.63329e-31 t=25120
kai qi 	開啓	c=2 d=8.94912e-13 t=25120
kai shi 	開始	c=24 d=0.837696 t=25120
kai shou 	開售	c=1 d=5.79311e-49 t=25120
kai ting 	開庭	c=1 d=0.802519 t=25120
kai tong 	開通	c=4 d=3.18608e-21 t=25120
kai tou 	開頭	c=1 d=1.98061e-40 t=25120
kai tuan 	開團	c=1 d=4.66936e-12 t=25120
kai xin 	開心	c=1 d=9.00142e-28 t=25120
kai xue 	開學	c=1 d=8.1404e-51 t=25120
kai zu 	開組	c=2 d=0.22091 t=25120
kan 	坎	c=1 d=0.00759701 t=25120
kan 	看	c=56 d=1.67826 t=25120
kan 	砍	c=1 d=3.37776e-26 t=25120
kan bu dao 	看不到	c=1 d=3.06903e-16 t=25120
kan dao 	看到	c=17 d=0.440581 t=25120
kan de 	看得	c=1 d=6.28543e-38 t=25120
kan guan 	看慣	c=1 d=3.0139e-38 t=25120
kan guo 	看過	c=3 d=0.00831262 t=25120
kan guo shu 	看過書	c=1 d=1.52274e-06 t=25120
kan hai 	看海	c=1 d=2.18935e-13 t=25120
kan hao 	看好	c=4 d=0.13214 t=25120
kan kai 	看開	c=2 d=4.63424e-12 t=25120
kan kan 	看看	c=12 d=0.000411789 t=25120
kan lai 	看來	c=7 d=0.124307 t=25120
kan le 	看了	c=4 d=2.11937e-12 t=25120
kan lian 	看連	c=1 d=1.00324e-38 t=25120
kan pian 	看片	c=1 d=3.96789e-38 t=25120
kan shang qu 	看上去	c=2 d=1.12884e-14 t=25120
kan tai 	看臺	c=2 d=1.21944e-51 t=25120
kan tu 	看圖	c=1 d=1.69651e-42 t=25120
kan wan 	看完	c=2 d=1.63933e-21 t=25120
kan yang zi 	看樣子	c=1 d=2.22395e-21 t=25120
kan yuan ma 	看源碼	c=1 d=6.17816e-12 t=25120
kan zhe 	看着	c=1 d=1.27537e-38 t=25120
kang 	扛	c=1 d=2.09843e-14 t=25120
kang fu 	康復	c=0 d=1.41512e-27 t=25120
kang fu zhi nan 	康復指南	c=1 d=1.42221e-26 t=25120
kang jia 	康佳	c=1 d=1.12608e-44 t=25120
kao 	尻	c=1 d=2.93589e-53 t=25120
kao 	靠	c=5 d=0.16696 t=25120
